Timestamp IST,Coin,Side,Closed PnL
08-03-2025 20:36,MELANIA,BUY,34.431363
28-10-2024 08:11,PURR/USDC,SELL,2.660036
05-03-2025 04:42,HYPE,SELL,106.142736
06-04-2025 23:49,SUI,BUY,0.0
10-06-2024 21:10,WLD,SELL,0.0
23-12-2024 15:37,@107,SELL,35.323714
19-02-2025 12:24,@107,SELL,24.952881
09-03-2025 22:38,SOL,SELL,6.689256
20-02-2025 06:12,HYPE,SELL,0.50605
10-01-2025 01:35,HYPE,BUY,0.0
12-02-2025 06:23,ETH,SELL,4.21168
05-01-2025 02:53,HYPE,SELL,0.0
23-12-2024 15:38,@107,SELL,156.035563
18-03-2025 12:57,HYPE,SELL,10.491054
30-03-2025 20:18,BTC,SELL,9.236271
26-01-2025 12:47,PENDLE,BUY,0.0
15-04-2024 04:21,ONDO,BUY,0.0
07-12-2024 09:31,XRP,BUY,2.330944
02-04-2024 08:07,INJ,BUY,0.0
22-03-2025 05:48,HYPE,SELL,0.0
11-01-2025 01:49,BTC,SELL,0.0
03-02-2025 05:55,HYPE,SELL,0.0
09-08-2024 21:07,@4,BUY,0.0
20-04-2025 00:13,@107,BUY,0.0
21-12-2024 13:20,BTC,SELL,22.68992
11-03-2025 08:28,HYPE,SELL,21.46298
20-01-2025 06:35,@107,SELL,-71.100232
05-04-2025 16:21,HYPE,SELL,6.584352
13-01-2025 08:19,FARTCOIN,SELL,5.449426
25-02-2025 03:43,HYPE,BUY,0.0
10-12-2024 21:21,@107,BUY,0.0
15-06-2024 17:31,ETH,SELL,79.070176
25-02-2025 04:46,HYPE,BUY,0.0
16-04-2025 22:39,BTC,BUY,0.0
27-03-2025 07:02,HYPE,BUY,0.0
15-02-2025 05:14,@107,BUY,0.0
04-01-2025 21:15,ETH,SELL,0.0
22-01-2024 22:33,ONDO,SELL,0.0
15-05-2024 22:22,ETH,SELL,0.0
11-03-2025 04:45,HYPE,BUY,0.0
06-01-2025 16:10,PENGU,SELL,0.0
26-03-2025 10:12,HYPE,BUY,0.0
12-04-2025 09:15,BTC,SELL,48.025635
14-03-2025 09:46,HYPE,SELL,2.177305
05-12-2024 09:12,RENDER,BUY,8.4984
24-02-2025 13:37,HYPE,BUY,0.0
26-03-2025 20:42,HYPE,BUY,3.152
29-03-2025 15:15,HYPE,BUY,0.0
05-03-2025 08:17,KAITO,BUY,0.0
13-02-2025 02:45,PENGU,SELL,8.685248
10-12-2024 03:38,XRP,SELL,0.0
04-02-2025 17:14,HYPE,SELL,0.0
10-03-2025 20:34,HYPE,BUY,0.0
20-01-2025 21:33,BTC,BUY,0.0
11-03-2025 00:24,SOL,BUY,0.0
11-04-2025 07:58,MELANIA,SELL,0.0
14-02-2025 05:59,MELANIA,SELL,0.0
